name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,f1,0.7329192546583853,37.88
2_DecisionTree,Decision Tree,f1,0.7379242360230953,37.47
3_DecisionTree,Decision Tree,f1,0.7379242360230953,37.01
4_Default_LightGBM,LightGBM,f1,0.7667825621824018,247.42
5_Default_Xgboost,Xgboost,f1,0.7660685591858596,216.9
6_Default_CatBoost,CatBoost,f1,0.7659832748853521,121.43
7_Default_NeuralNetwork,Neural Network,f1,0.7628256782164919,492.15
8_Default_RandomForest,Random Forest,f1,0.7433420725817579,101.17
9_Default_ExtraTrees,Extra Trees,f1,0.738891239949217,92.74
19_LightGBM,LightGBM,f1,0.768170258332218,256.06
10_Xgboost,Xgboost,f1,0.7659886628876292,219.38
28_CatBoost,CatBoost,f1,0.7657572906867356,143.86
37_RandomForest,Random Forest,f1,0.7561703281800923,101.46
46_ExtraTrees,Extra Trees,f1,0.6213364595545136,88.61
55_NeuralNetwork,Neural Network,f1,0.7598624317216266,414.88
20_LightGBM,LightGBM,f1,0.7671763370501435,180.12
11_Xgboost,Xgboost,f1,0.7643405676126879,217.6
29_CatBoost,CatBoost,f1,0.7668546870803116,147.22
38_RandomForest,Random Forest,f1,0.7673562294972217,121.32
47_ExtraTrees,Extra Trees,f1,0.7336106727872617,132.12
56_NeuralNetwork,Neural Network,f1,0.7646823278163374,631.97
21_LightGBM,LightGBM,f1,0.767059138346267,221.27
12_Xgboost,Xgboost,f1,0.7633187772925765,289.69
30_CatBoost,CatBoost,f1,0.7677432350768817,137.72
39_RandomForest,Random Forest,f1,0.7597435897435897,100.16
48_ExtraTrees,Extra Trees,f1,0.5741024332142249,96.23
57_NeuralNetwork,Neural Network,f1,0.7642742796157951,1454.46
22_LightGBM,LightGBM,f1,0.7646468028121861,246.84
13_Xgboost,Xgboost,f1,0.763907551733405,214.44
31_CatBoost,CatBoost,f1,0.7685501709229842,118.3
40_RandomForest,Random Forest,f1,0.7649658497388508,116.71
49_ExtraTrees,Extra Trees,f1,0.7311104751001718,119.86
58_NeuralNetwork,Neural Network,f1,0.7657158126795377,597.44
23_LightGBM,LightGBM,f1,0.766219839142091,155.87
14_Xgboost,Xgboost,f1,0.7646861362873448,269.12
32_CatBoost,CatBoost,f1,0.7678222820599124,116.01
41_RandomForest,Random Forest,f1,0.7456619426201174,112.31
50_ExtraTrees,Extra Trees,f1,0.4308687791416881,147.91
59_NeuralNetwork,Neural Network,f1,0.7590844257284519,529.52
24_LightGBM,LightGBM,f1,0.7648363465286646,287.99
15_Xgboost,Xgboost,f1,0.7654436917298276,265.9
33_CatBoost,CatBoost,f1,0.7660866046135167,103.25
42_RandomForest,Random Forest,f1,0.7677238805970148,148.03
51_ExtraTrees,Extra Trees,f1,0.7617773019271948,114.95
60_NeuralNetwork,Neural Network,f1,0.7644127155172414,517.65
5_Default_Xgboost_categorical_mix,Xgboost,f1,0.7659203646601421,219.51
31_CatBoost_GoldenFeatures,CatBoost,f1,0.7671673819742489,136.67
19_LightGBM_GoldenFeatures,LightGBM,f1,0.7660630449362844,248.42
32_CatBoost_GoldenFeatures,CatBoost,f1,0.7680118176324447,134.3
31_CatBoost_KMeansFeatures,CatBoost,f1,0.7692616910089776,151.37
19_LightGBM_KMeansFeatures,LightGBM,f1,0.7668275677125235,267.58
32_CatBoost_KMeansFeatures,CatBoost,f1,0.7672373279624035,145.4
31_CatBoost_KMeansFeatures_RandomFeature,CatBoost,f1,0.7665210084033613,188.71
61_CatBoost,CatBoost,f1,0.7676103582450021,127.29
62_CatBoost,CatBoost,f1,0.7690244720080457,143.36
63_CatBoost,CatBoost,f1,0.768279569892473,133.06
64_CatBoost,CatBoost,f1,0.767365530176167,133.03
65_LightGBM,LightGBM,f1,0.7679967916583116,279.12
66_LightGBM,LightGBM,f1,0.7682926829268292,273.11
67_CatBoost_GoldenFeatures,CatBoost,f1,0.7677215615131358,112.38
68_CatBoost_GoldenFeatures,CatBoost,f1,0.7673091128869788,139.74
69_RandomForest,Random Forest,f1,0.7678631107546287,137.85
70_RandomForest,Random Forest,f1,0.7673562294972217,124.43
71_RandomForest,Random Forest,f1,0.7679882525697502,128.86
72_LightGBM,LightGBM,f1,0.7656606304493628,160.96
73_LightGBM,LightGBM,f1,0.7659289067739771,263.89
74_LightGBM,LightGBM,f1,0.767059138346267,227.18
75_Xgboost,Xgboost,f1,0.7660599571734477,246.34
76_Xgboost,Xgboost,f1,0.7649099399599733,235.42
77_Xgboost,Xgboost,f1,0.766984465631042,228.41
78_Xgboost,Xgboost,f1,0.76675137087067,260.36
79_NeuralNetwork,Neural Network,f1,0.7656858793497245,590.79
82_LightGBM,LightGBM,f1,0.7684696128902855,248.32
