name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,f1,0.7627817975243677,130.73
2_Default_Xgboost,Xgboost,f1,0.7621280432822363,111.62
3_Default_CatBoost,CatBoost,f1,0.7653564130304124,73.37
13_LightGBM,LightGBM,f1,0.7653507458216019,149.07
4_Xgboost,Xgboost,f1,0.7600191984641227,123.34
22_CatBoost,CatBoost,f1,0.7620481927710844,97.53
14_LightGBM,LightGBM,f1,0.7619448284151692,94.81
5_Xgboost,Xgboost,f1,0.7592847317744155,132.18
23_CatBoost,CatBoost,f1,0.7633164617980236,82.2
15_LightGBM,LightGBM,f1,0.7629137487280782,139.92
6_Xgboost,Xgboost,f1,0.7604938271604939,148.69
24_CatBoost,CatBoost,f1,0.7633606162734713,91.38
16_LightGBM,LightGBM,f1,0.7608317852220291,132.93
7_Xgboost,Xgboost,f1,0.7612156295224313,141.42
25_CatBoost,CatBoost,f1,0.7646175109668891,70.0
17_LightGBM,LightGBM,f1,0.7618304107614702,86.55
8_Xgboost,Xgboost,f1,0.763142066642608,138.42
26_CatBoost,CatBoost,f1,0.7633799421407907,71.73
18_LightGBM,LightGBM,f1,0.7598864939926342,164.68
9_Xgboost,Xgboost,f1,0.7636319961566178,158.22
27_CatBoost,CatBoost,f1,0.7648084671357267,71.99
19_LightGBM,LightGBM,f1,0.7628508168272395,134.87
10_Xgboost,Xgboost,f1,0.7583924918782337,171.95
28_CatBoost,CatBoost,f1,0.7624849215922798,95.25
20_LightGBM,LightGBM,f1,0.7623958270879548,118.43
11_Xgboost,Xgboost,f1,0.7627962796279629,103.11
29_CatBoost,CatBoost,f1,0.763859628002167,79.72
21_LightGBM,LightGBM,f1,0.7643815915627995,141.98
12_Xgboost,Xgboost,f1,0.7589317935763262,195.26
30_CatBoost,CatBoost,f1,0.758160504959423,103.79
Ensemble,Ensemble,f1,0.7656174915905815,108.94
